primary_model_score_bin,comparison_model_score_bin,sample_cnt,sample_pct,duedate_3m_30_valid_cnt,duedate_3m_30_bad_cnt,duedate_3m_30_good_cnt,duedate_3m_30_bad_rate,duedate_1m_5_valid_cnt,duedate_1m_5_bad_cnt,duedate_1m_5_good_cnt,duedate_1m_5_bad_rate,duedate_3m_30_amount_overdue_amount,duedate_3m_30_amount_principal_amount,duedate_3m_30_amount_overdue_rate,duedate_1m_5_amount_overdue_amount,duedate_1m_5_amount_principal_amount,duedate_1m_5_amount_overdue_rate,avg_PTI,avg_requested_loan_amount,avg_total_amount,avg_gross_surplus,avg_net_surplus,avg_total_income,avg_bank_txn_industry_primary_industry_amt,avg_bank_txn_industry_pay_interval_median,avg_bank_txn_industry_pay_interval_std,avg_bank_txn_industry_primary_employer_ratio,avg_bank_txn_industry_employer_cnt,apply_cnt,completed_application_cnt,approved_application_cnt,auto_approved_application_cnt,manual_approved_application_cnt,deal_sample_cnt,completion_rate,approval_rate,auto_approval_rate,manual_approval_rate,auto_approval_share,manual_approval_share,deal_rate
1,1,5296,0.08125441099757587,4390,135,4255,0.030751708428246014,5182,109,5073,0.021034349671941337,151809.47999999998,7092580.0,0.021403985573655845,204855.0,7092580.0,0.02888300167217007,0.057850109821204095,2497.8653700906343,1436.915596676737,2366.4624704179255,1874.3880913267876,9081.41022092145,43748.73270358305,10.507332971211298,2.3837840335909832,0.8905683150010857,1.5776330076004343,5296,5296,5296,2330,2966,5296,1.0,1.0,0.4399546827794562,0.5600453172205438,0.4399546827794562,0.5600453172205438,1.0
1,2,3022,0.04636533799748381,2554,161,2393,0.06303837118245889,2940,112,2828,0.0380952380952381,190981.08000000002,3982790.0,0.047951581680178976,211452.83000000002,3982790.0,0.05309163425638811,0.05789966968005926,2557.3679682329584,1386.6528788881535,2777.975327046106,2280.451267372601,9227.75228766821,44177.61610586011,9.911625708884689,2.418407428242911,0.8773018679669188,1.6446124763705103,3022,3022,3022,1389,1633,3022,1.0,1.0,0.45962938451356716,0.5403706154864328,0.45962938451356716,0.5403706154864328,1.0
1,3,1830,0.028076958482923686,1519,153,1366,0.10072416063199473,1787,111,1676,0.0621152770005596,170897.06,2357425.0,0.07249310582521183,230822.3,2357425.0,0.09791289224471615,0.05681986944118223,2656.775956284153,1348.9207650273224,3188.7081020036426,2693.415880692167,9363.850640255008,44497.60351219512,8.99918699186992,2.742458327416938,0.8688817816455284,1.6682926829268292,1830,1830,1830,809,1021,1830,1.0,1.0,0.4420765027322404,0.5579234972677596,0.4420765027322404,0.5579234972677596,1.0
1,4,1149,0.01762864770321274,1018,114,904,0.11198428290766209,1131,86,1045,0.07603890362511052,134126.8,1556310.0,0.08618257288072427,172813.07,1556310.0,0.11104026190154918,0.055602214821422906,2729.0252393385554,1373.289817232376,3955.7687742964895,3438.9024456048733,10210.79261821874,47398.835386740335,8.896408839779005,2.7099067029309394,0.8545518905386741,1.7651933701657458,1149,1149,1149,522,627,1149,1.0,1.0,0.45430809399477806,0.5456919060052219,0.45430809399477806,0.5456919060052219,1.0
1,5,515,0.007901439135904752,475,61,414,0.12842105263157894,515,49,466,0.09514563106796116,69382.56,715250.0,0.09700462775253407,87459.76,715250.0,0.12227858790632645,0.05267243626371906,2715.631067961165,1388.8349514563106,5094.6560776699025,4560.940572815534,11347.639333333333,49908.488975903616,8.599397590361447,2.3662358182891565,0.8454603664518071,1.8313253012048192,515,515,515,206,309,515,1.0,1.0,0.4,0.6,0.4,0.6,1.0
1,,42,0.0006443892110834944,0,0,0,,37,1,36,0.02702702702702703,0.0,64450.0,0.0,0.0,64450.0,0.0,0.05613368835213691,2530.3571428571427,1711.904761904762,4647.530952380952,4180.079841269841,10758.77369047619,63836.50642857143,12.0,2.3971116611666665,0.8892306219523809,1.6428571428571428,42,42,42,12,30,42,1.0,1.0,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.7142857142857143,1.0
2,1,3657,0.05610788916505569,2970,116,2854,0.039057239057239054,3565,86,3479,0.0241234221598878,114040.43000000001,3979798.0,0.02865482871241204,157500.5,3979798.0,0.03957499853007615,0.059678948741992595,2092.6743232157505,1183.704675963905,1564.1695624829094,1177.8157538054872,6792.8298049402965,31645.876181953765,11.510812826249067,1.918308489872388,0.9257641534697987,1.4258016405667413,3657,3657,3657,1618,2039,3657,1.0,1.0,0.44243915777960074,0.5575608422203993,0.44243915777960074,0.5575608422203993,1.0
2,2,3527,0.05411335113074964,2891,166,2725,0.0574195780006918,3427,143,3284,0.04172745841844178,165746.81,3814785.0,0.04344853248610341,225473.52,3814785.0,0.059105171064686476,0.06070434990134465,2207.33512900482,1160.2239863907002,1777.8571907192136,1385.6995605330308,6787.976599565259,32080.670603096984,10.398940505297473,2.0431857278523653,0.9180779688785654,1.4751426242868786,3527,3527,3527,1617,1910,3527,1.0,1.0,0.45846328324354974,0.5415367167564502,0.45846328324354974,0.5415367167564502,1.0
2,3,2843,0.04361901255024701,2356,221,2135,0.09380305602716468,2781,144,2637,0.05177993527508091,205729.09000000003,3065691.0,0.06710692303953661,236994.65,3065691.0,0.0773054590302806,0.05924187967313954,2252.1635596201195,1132.7966936334858,2160.388104115371,1768.3407679681086,7091.225138937742,31962.678589251434,10.284069097888676,2.2815068389856044,0.9039180630211133,1.5652591170825336,2843,2843,2843,1352,1491,2843,1.0,1.0,0.47555399226169537,0.5244460077383046,0.47555399226169537,0.5244460077383046,1.0
2,4,2045,0.03137561753966062,1770,237,1533,0.13389830508474576,2000,144,1856,0.072,242699.32,2296355.0,0.10568893746829214,279190.41000000003,2296355.0,0.12157981235479708,0.05936060499658588,2364.120293398533,1154.0977995110024,2563.2875232273836,2146.5724172779132,7545.463973105134,36484.19550769231,9.806153846153846,2.4825591716856703,0.8989290417861537,1.5923076923076922,2045,2045,2045,935,1110,2045,1.0,1.0,0.4572127139364303,0.5427872860635696,0.4572127139364303,0.5427872860635696,1.0
