primary_model_score_bin,last_step,sample_cnt,sample_pct,duedate_3m_30_valid_cnt,duedate_3m_30_bad_cnt,duedate_3m_30_good_cnt,duedate_3m_30_bad_rate,duedate_1m_5_valid_cnt,duedate_1m_5_bad_cnt,duedate_1m_5_good_cnt,duedate_1m_5_bad_rate,duedate_3m_30_amount_overdue_amount,duedate_3m_30_amount_principal_amount,duedate_3m_30_amount_overdue_rate,duedate_1m_5_amount_overdue_amount,duedate_1m_5_amount_principal_amount,duedate_1m_5_amount_overdue_rate,avg_PTI,avg_requested_loan_amount,avg_total_amount,avg_gross_surplus,avg_net_surplus,avg_total_income,avg_bank_txn_industry_primary_industry_amt,avg_bank_txn_industry_pay_interval_median,avg_bank_txn_industry_pay_interval_std,avg_bank_txn_industry_primary_employer_ratio,avg_bank_txn_industry_employer_cnt,apply_cnt,completed_application_cnt,approved_application_cnt,auto_approved_application_cnt,manual_approved_application_cnt,deal_sample_cnt,completion_rate,approval_rate,auto_approval_rate,manual_approval_rate,auto_approval_share,manual_approval_share,deal_rate
1,6.confirmation,3,4.602780079167817e-05,3,1,2,0.3333333333333333,3,1,2,0.3333333333333333,500.0,3800.0,0.13157894736842105,500.0,3800.0,0.13157894736842105,0.06104772075261274,2500.0,1266.6666666666667,1694.9111111111108,1256.6955555555555,7835.013333333332,,,,,,3,3,3,3,0,3,1.0,1.0,1.0,0.0,1.0,0.0,1.0
1,9.submitted,11851,0.1818251557273927,9953,623,9330,0.06259419270571687,11589,467,11122,0.04029683320390025,716696.98,15765005.0,0.0454612592891661,906902.9600000001,15765005.0,0.0575263350693514,0.05725382378852093,2569.5667876128596,1403.2701881697747,2879.2675957021906,2381.1670487722554,9376.580967428908,44752.85936107711,9.920910871694417,2.4750308449723244,0.8788289839855569,1.6362301101591188,11851,11851,11851,5265,6586,11851,1.0,1.0,0.4442663066407898,0.5557336933592102,0.4442663066407898,0.5557336933592102,1.0
2,6.confirmation,2,3.068520052778545e-05,2,1,1,0.5,2,0,2,0.0,1200.0,2000.0,0.6,1200.0,2000.0,0.6,0.0713001057372959,1000.0,1000.0,3543.940833333333,2916.8424999999997,8486.389166666666,,,,,,2,2,2,2,0,2,1.0,1.0,1.0,0.0,1.0,0.0,1.0
2,9.submitted,13244,0.20319739789499525,11050,950,10100,0.08597285067873303,12934,658,12276,0.05087366630586052,947664.1099999999,14564889.0,0.0650649730320636,1143384.81,14564889.0,0.07850281660230984,0.0595530644762615,2231.4668529145274,1164.6858199939595,2060.01377277761,1661.8892930131883,7122.421930811436,33047.55121956475,10.557315233785822,2.1636458006882275,0.9122700046940314,1.5082956259426847,13244,13244,13244,6018,7226,13244,1.0,1.0,0.4543944427665358,0.5456055572334642,0.4543944427665358,0.5456055572334642,1.0
3,6.confirmation,2,3.068520052778545e-05,2,0,2,0.0,2,0,2,0.0,0.0,3800.0,0.0,0.0,3800.0,0.0,0.07718752029176934,3750.0,1900.0,2701.2266666666665,2236.585,6036.961666666666,,,,,,2,2,2,2,0,2,1.0,1.0,1.0,0.0,1.0,0.0,1.0
3,9.submitted,13442,0.206235232747246,11290,1270,10020,0.112488928255093,13089,860,12229,0.06570402628161051,1066289.1099999999,12796783.0,0.08332477857911631,1266505.64,12796783.0,0.09897062722717107,0.05872624128262777,2026.5404701681298,1011.3951048951049,1814.4802450032237,1463.0816344294003,6338.902952933592,27858.322606219885,10.550515012053474,2.4661542246524792,0.9153530839829171,1.4960578186596583,13442,13442,13442,5996,7446,13442,1.0,1.0,0.4460645737241482,0.5539354262758518,0.4460645737241482,0.5539354262758518,1.0
4,6.confirmation,1,1.5342600263892726e-05,1,0,1,0.0,1,0,1,0.0,0.0,500.0,0.0,0.0,500.0,0.0,0.0651238185947688,500.0,500.0,702.4116666666666,394.26833333333326,4731.653333333333,,,,,,1,1,1,0,1,1,1.0,1.0,0.0,1.0,0.0,1.0,1.0
4,9.submitted,13455,0.20643468655067662,11314,1675,9639,0.1480466678451476,13128,1145,11983,0.08721815965874467,1216936.13,11239189.0,0.10827615141982219,1450890.5100000002,11239189.0,0.12909209997269377,0.057245575985725064,1888.1293199554068,881.5892976588628,1708.542922705314,1395.431267310789,5802.645349436391,23480.750205061082,10.629617486338798,2.597852302816546,0.9194754328453317,1.4781849912739966,13455,13455,13455,5621,7834,13455,1.0,1.0,0.4177629134150873,0.5822370865849127,0.4177629134150873,0.5822370865849127,1.0
5,6.confirmation,4,6.13704010555709e-05,4,1,3,0.25,4,0,4,0.0,1446.15,3500.0,0.4131857142857143,1692.31,3500.0,0.48351714285714287,0.06393595728294338,1725.0,875.0,1195.2524999999996,829.7033333333331,5790.725416666666,,,,,,4,4,4,2,2,4,1.0,1.0,0.5,0.5,0.5,0.5,1.0
5,9.submitted,13173,0.20210807327625885,11287,2689,8598,0.23823868166917692,12949,1795,11154,0.13862074291451076,1448206.1,9064466.0,0.159767392806151,1774943.0,9064466.0,0.19581329997817853,0.05436749169907964,1684.074470507857,716.8102178698854,1599.6564195703331,1328.9247467041168,5278.3202811305955,18348.581760660247,10.203380087376408,2.872989737134904,0.9212837568757449,1.4662998624484183,13173,13173,13173,3992,9181,13173,1.0,1.0,0.30304410536703863,0.6969558946329614,0.30304410536703863,0.6969558946329614,1.0
5,,1,1.5342600263892726e-05,1,0,1,0.0,1,0,1,0.0,0.0,2050.0,0.0,0.0,2050.0,0.0,0.2866484246106796,2050.0,2050.0,1555.8183333333332,321.0783333333333,4307.506666666666,,,,,,1,1,1,1,0,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0
