primary_model_score_bin,requested_loan_tag,sample_cnt,sample_pct,duedate_3m_30_valid_cnt,duedate_3m_30_bad_cnt,duedate_3m_30_good_cnt,duedate_3m_30_bad_rate,duedate_1m_5_valid_cnt,duedate_1m_5_bad_cnt,duedate_1m_5_good_cnt,duedate_1m_5_bad_rate,duedate_3m_30_amount_overdue_amount,duedate_3m_30_amount_principal_amount,duedate_3m_30_amount_overdue_rate,duedate_1m_5_amount_overdue_amount,duedate_1m_5_amount_principal_amount,duedate_1m_5_amount_overdue_rate,avg_PTI,avg_requested_loan_amount,avg_total_amount,avg_gross_surplus,avg_net_surplus,avg_total_income,avg_bank_txn_industry_primary_industry_amt,avg_bank_txn_industry_pay_interval_median,avg_bank_txn_industry_pay_interval_std,avg_bank_txn_industry_primary_employer_ratio,avg_bank_txn_industry_employer_cnt,apply_cnt,completed_application_cnt,approved_application_cnt,auto_approved_application_cnt,manual_approved_application_cnt,deal_sample_cnt,completion_rate,approval_rate,auto_approval_rate,manual_approval_rate,auto_approval_share,manual_approval_share,deal_rate
1,MACC,7066,0.108410813464666,5837,437,5400,0.07486722631488779,6896,319,6577,0.046258700696055685,567189.47,11061200.0,0.051277390337395576,720086.12,11061200.0,0.06510018081220843,0.06124085195387035,3515.9081517124255,1661.2262949334843,3004.2708668270593,2459.194223747523,9613.484030568921,44549.23172637195,9.706824247045368,2.533498105353547,0.872208296086128,1.6783536585365855,7066,7066,7066,3038,4028,7066,1.0,1.0,0.429946221341636,0.570053778658364,0.429946221341636,0.570053778658364,1.0
1,SACC,4788,0.07346037006351837,4119,187,3932,0.045399368778829816,4696,149,4547,0.03172913117546848,150007.51,4707605.0,0.0318649313185792,187316.84,4707605.0,0.03979026277693222,0.05137225333625136,1172.938387635756,1022.5,2694.049094611529,2265.312112921192,9025.999984335838,45118.58072553045,10.30527036276523,2.370101921824093,0.8907199388439425,1.5605749486652978,4788,4788,4788,2230,2558,4788,1.0,1.0,0.46574770258980785,0.5342522974101922,0.46574770258980785,0.5342522974101922,1.0
2,MACC,6701,0.10281076436834514,5513,609,4904,0.11046617086885543,6533,392,6141,0.06000306138068269,716832.21,9054167.0,0.07917152511103451,818788.02,9054167.0,0.09043217559384535,0.06376837144827134,3363.9549320996866,1434.9413520370094,2141.8136872606074,1705.0350920260655,7255.115702382727,32809.17398415842,10.206336633663366,2.208765385981371,0.9054756587873267,1.5437623762376238,6701,6701,6701,2922,3779,6701,1.0,1.0,0.43605432025070884,0.5639456797492911,0.43605432025070884,0.5639456797492911,1.0
2,SACC,6545,0.10041731872717788,5539,342,5197,0.061743997111391946,6403,266,6137,0.04154302670623145,232031.9,5512722.0,0.042090259585010815,325796.79000000004,5512722.0,0.05909907845888112,0.05524087533387558,1071.609625668449,887.9384262796027,1976.7176119174942,1618.098598930481,6986.982201426025,33332.004206049154,10.976134215500945,2.109822295395272,0.920377624455104,1.4659735349716445,6545,6545,6545,3098,3447,6545,1.0,1.0,0.47333842627960276,0.5266615737203972,0.47333842627960276,0.5266615737203972,1.0
3,MACC,6050,0.09282273159655098,4962,706,4256,0.1422813381700927,5865,439,5426,0.07485080988917306,722339.5399999999,7148917.0,0.10104181374605412,829911.15,7148917.0,0.11608907335194968,0.06254706414865734,3274.8102479338845,1266.6912396694215,1844.9038493112948,1461.7688520661156,6452.298759779615,27428.350386303773,10.537785588752197,2.59250145958469,0.9132412541624233,1.5105355575065846,6050,6050,6050,2502,3548,6050,1.0,1.0,0.4135537190082645,0.5864462809917356,0.4135537190082645,0.5864462809917356,1.0
3,SACC,7394,0.1134431863512228,6330,564,5766,0.08909952606635071,7226,421,6805,0.05826183227234985,343949.57,5651666.0,0.06085808503191802,436594.49,5651666.0,0.07725058239464257,0.055604919159086975,1005.6336218555585,802.7442520962943,1789.8265645568476,1464.365018258047,6246.037316743305,28286.41557692308,10.563183209444688,2.340470520056893,0.917455683777972,1.4816433566433567,7394,7394,7394,3496,3898,7394,1.0,1.0,0.4728157965918312,0.5271842034081687,0.4728157965918312,0.5271842034081687,1.0
4,MACC,5536,0.08493663506091012,4543,806,3737,0.1774158045344486,5375,513,4862,0.09544186046511628,762662.1599999999,5747624.0,0.1326917279209635,866392.24,5747624.0,0.15073919936307595,0.06038789135537798,3225.433526011561,1103.0426300578035,1789.2805491329477,1449.5210130659923,5936.943413716281,22646.86083899127,10.43339815264949,2.798241677993164,0.9157558264830261,1.4922405431619787,5536,5536,5536,2109,3427,5536,1.0,1.0,0.38096098265895956,0.6190390173410405,0.38096098265895956,0.6190390173410405,1.0
4,SACC,7920,0.12151339409003038,6772,869,5903,0.1283225044300059,7754,632,7122,0.08150631931906113,454273.97,5492065.0,0.08271460188471913,584498.27,5492065.0,0.10642595635703511,0.055050124010499114,953.1919191919192,726.7474747474747,1651.9811005892257,1357.4966719276092,5708.637132786195,24162.54238302934,10.789912629070692,2.4342821791171785,0.9225166018854084,1.4666931007137192,7920,7920,7920,3512,4408,7920,1.0,1.0,0.44343434343434346,0.5565656565656566,0.44343434343434346,0.5565656565656566,1.0
5,MACC,4561,0.06997759980361472,3851,1058,2793,0.274733835367437,4481,658,3823,0.14684222271814326,746710.1,3843645.0,0.19427134920108385,846914.66,3843645.0,0.22034154038679432,0.056290997940336165,3180.529050646788,882.0697215522912,1637.7753431265073,1350.4539804867352,5392.5324179638965,17998.729009433962,9.898876404494382,3.101537542849259,0.9128652595135612,1.505306603773585,4561,4561,4561,1286,3275,4561,1.0,1.0,0.2819557114667836,0.7180442885332164,0.2819557114667836,0.7180442885332164,1.0
5,SACC,8617,0.1322071864739636,7441,1632,5809,0.21932535949469156,8473,1137,7336,0.13419095951847043,702942.1499999999,5226371.0,0.1344990912432355,929720.65,5226371.0,0.17789028945706303,0.053380658229821985,892.0587211326448,629.5660902866426,1579.2871652934123,1317.1805703841244,5217.992702023133,18571.143750937732,10.397103085026336,2.72733805308472,0.9266392600738934,1.4414853713428357,8617,8617,8617,2709,5908,8617,1.0,1.0,0.314378554021121,0.685621445978879,0.314378554021121,0.685621445978879,1.0
