primary_model_score_bin,state,sample_cnt,sample_pct,duedate_3m_30_valid_cnt,duedate_3m_30_bad_cnt,duedate_3m_30_good_cnt,duedate_3m_30_bad_rate,duedate_1m_5_valid_cnt,duedate_1m_5_bad_cnt,duedate_1m_5_good_cnt,duedate_1m_5_bad_rate,duedate_3m_30_amount_overdue_amount,duedate_3m_30_amount_principal_amount,duedate_3m_30_amount_overdue_rate,duedate_1m_5_amount_overdue_amount,duedate_1m_5_amount_principal_amount,duedate_1m_5_amount_overdue_rate,avg_PTI,avg_requested_loan_amount,avg_total_amount,avg_gross_surplus,avg_net_surplus,avg_total_income,avg_bank_txn_industry_primary_industry_amt,avg_bank_txn_industry_pay_interval_median,avg_bank_txn_industry_pay_interval_std,avg_bank_txn_industry_primary_employer_ratio,avg_bank_txn_industry_employer_cnt,apply_cnt,completed_application_cnt,approved_application_cnt,auto_approved_application_cnt,manual_approved_application_cnt,deal_sample_cnt,completion_rate,approval_rate,auto_approval_rate,manual_approval_rate,auto_approval_share,manual_approval_share,deal_rate
1,ACT,139,0.0021326214366810888,125,7,118,0.056,137,6,131,0.043795620437956206,8744.56,175425.0,0.04984785520877868,8787.150000000001,175425.0,0.050090637024369396,0.05786221523872419,2442.8057553956833,1317.086330935252,2698.509760191846,2192.2506354916068,9237.413896882494,42018.57942857143,9.514285714285714,3.708034580971429,0.7903581604571428,1.8,139,139,139,64,75,139,1.0,1.0,0.460431654676259,0.539568345323741,0.460431654676259,0.539568345323741,1.0
1,NSW,3859,0.05920709441836203,3214,199,3015,0.06191661481020535,3772,162,3610,0.04294803817603393,230741.32,5165325.0,0.04467121042722384,297139.70999999996,5165325.0,0.05752584977711953,0.05706226970062997,2619.3767815496244,1411.065042757191,2860.33731277533,2365.057379286516,9422.990098039214,45453.64102373887,9.67706013363029,2.5489732266733482,0.8738104344243324,1.6683976261127595,3859,3859,3859,1667,2192,3859,1.0,1.0,0.43197719616480956,0.5680228038351904,0.43197719616480956,0.5680228038351904,1.0
1,NT,215,0.0032986590567369357,182,7,175,0.038461538461538464,206,10,196,0.04854368932038835,8386.73,303675.0,0.027617452869021154,15965.579999999998,303675.0,0.052574561620153115,0.05933332349992499,2610.4697674418603,1487.093023255814,3255.8665271317823,2723.0392558139533,9880.804387596898,52656.811940298496,9.477611940298507,2.67147121719403,0.8696066695373135,1.7611940298507462,215,215,215,101,114,215,1.0,1.0,0.4697674418604651,0.5302325581395348,0.4697674418604651,0.5302325581395348,1.0
1,QLD,2945,0.04518395777716407,2456,144,2312,0.05863192182410423,2877,111,2766,0.03858185610010428,151865.63,3890110.0,0.03903890378421176,216097.77000000002,3890110.0,0.055550555125690536,0.05754509024132184,2466.1405772495755,1394.8251273344652,2810.9195631013017,2310.767730616865,9301.200308432371,44038.95298689138,9.65121722846442,2.261676360378277,0.8854427537312735,1.5786516853932584,2945,2945,2945,1369,1576,2945,1.0,1.0,0.46485568760611207,0.5351443123938879,0.46485568760611207,0.5351443123938879,1.0
1,SA,524,0.008039522538279787,437,25,412,0.057208237986270026,510,21,489,0.041176470588235294,28661.12,688415.0,0.04163349142595672,26324.809999999998,688415.0,0.0382397391108561,0.05725765093238562,2544.5992366412215,1392.2041984732825,2790.617585877862,2302.7969688295166,9099.724990458015,42519.371999999996,10.013157894736842,2.3167483387421055,0.8743103288736841,1.6631578947368422,524,524,524,251,273,524,1.0,1.0,0.47900763358778625,0.5209923664122137,0.47900763358778625,0.5209923664122137,1.0
1,TAS,165,0.0025315290435422994,137,11,126,0.08029197080291971,162,5,157,0.030864197530864196,11486.79,213185.0,0.05388179280906256,11778.14,213185.0,0.05524844618523817,0.05692764061512298,2664.848484848485,1382.939393939394,2982.640949494949,2497.0854343434344,9301.335858585857,39564.30701754386,9.263157894736842,2.624040059210526,0.8226591188070175,1.9473684210526316,165,165,165,67,98,165,1.0,1.0,0.40606060606060607,0.593939393939394,0.40606060606060607,0.593939393939394,1.0
1,VIC,2364,0.0362699070238424,2003,151,1852,0.07538691962056915,2321,92,2229,0.03963808703145196,189759.84,3135075.0,0.060528006507021365,208871.51,3135075.0,0.0666240871430508,0.05792484633273156,2583.344331641286,1396.9543147208121,2855.7592907501407,2365.41198463057,9207.193056260574,42776.732012658234,10.09746835443038,2.502192345207858,0.8775405258164556,1.6670886075949367,2364,2364,2364,1067,1297,2364,1.0,1.0,0.4513536379018612,0.5486463620981388,0.4513536379018612,0.5486463620981388,1.0
1,WA,1643,0.025207892233575748,1402,80,1322,0.05706134094151213,1607,61,1546,0.037958929682638455,87550.98999999999,2197595.0,0.039839456314744066,122438.29,2197595.0,0.05571467445093386,0.05593104099408781,2621.7772367620205,1410.830797321972,3061.8056674781897,2550.40685940353,9685.245414891458,47894.71594339622,10.941509433962263,2.611059699656604,0.8948553638943396,1.5547169811320756,1643,1643,1643,682,961,1643,1.0,1.0,0.41509433962264153,0.5849056603773585,0.41509433962264153,0.5849056603773585,1.0
2,ACT,170,0.0026082420448617634,147,16,131,0.10884353741496598,164,8,156,0.04878048780487805,16405.06,184775.0,0.08878398051684482,18357.47,184775.0,0.099350399134082,0.061702964613872036,2318.0882352941176,1156.9117647058824,2248.523588235294,1831.6306666666667,7358.451303921569,40569.883125,10.822916666666666,1.787635593875,0.9535186725625001,1.4583333333333333,170,170,170,80,90,170,1.0,1.0,0.47058823529411764,0.5294117647058824,0.47058823529411764,0.5294117647058824,1.0
2,NSW,4154,0.06373316149621037,3433,318,3115,0.09263035246140403,4062,223,3839,0.05489906450024618,315239.16000000003,4599201.0,0.06854215764868725,373387.29000000004,4599201.0,0.08118525152521058,0.05964842398951995,2276.829561868079,1180.3384689455945,2087.7548567645636,1687.011293532338,7177.728612983469,33244.23605315614,10.223255813953488,2.1160962449421157,0.9101894260093023,1.496345514950166,4154,4154,4154,1853,2301,4154,1.0,1.0,0.44607607125662013,0.5539239287433799,0.44607607125662013,0.5539239287433799,1.0
