primary_model_score_bin,family_type,sample_cnt,sample_pct,duedate_3m_30_valid_cnt,duedate_3m_30_bad_cnt,duedate_3m_30_good_cnt,duedate_3m_30_bad_rate,duedate_1m_5_valid_cnt,duedate_1m_5_bad_cnt,duedate_1m_5_good_cnt,duedate_1m_5_bad_rate,duedate_3m_30_amount_overdue_amount,duedate_3m_30_amount_principal_amount,duedate_3m_30_amount_overdue_rate,duedate_1m_5_amount_overdue_amount,duedate_1m_5_amount_principal_amount,duedate_1m_5_amount_overdue_rate,avg_PTI,avg_requested_loan_amount,avg_total_amount,avg_gross_surplus,avg_net_surplus,avg_total_income,avg_bank_txn_industry_primary_industry_amt,avg_bank_txn_industry_pay_interval_median,avg_bank_txn_industry_pay_interval_std,avg_bank_txn_industry_primary_employer_ratio,avg_bank_txn_industry_employer_cnt,apply_cnt,completed_application_cnt,approved_application_cnt,auto_approved_application_cnt,manual_approved_application_cnt,deal_sample_cnt,completion_rate,approval_rate,auto_approval_rate,manual_approval_rate,auto_approval_share,manual_approval_share,deal_rate
1,couple,5919,0.09081285096198104,5145,284,4861,0.055199222546161324,5813,202,5611,0.034749698950627905,329016.95,8043030.0,0.0409070897410553,394380.93,8043030.0,0.04903387529326634,0.057684143980303096,2608.866531508701,1416.557695556682,3081.146325955961,2568.724659007715,9535.085767303035,45373.95685524126,9.989456159822419,2.4177111547545804,0.8812443279445369,1.6211869107043815,5919,5919,5919,2711,3208,5919,1.0,1.0,0.4580165568508194,0.5419834431491806,0.4580165568508194,0.5419834431491806,1.0
1,single,5935,0.09105833256620333,4811,340,4471,0.0706713780918728,5779,266,5513,0.046028724692853434,388180.03,7725775.0,0.05024480133061085,513022.03,7725775.0,0.06640395688458439,0.05682658140869509,2530.3378264532435,1389.949452401011,2677.3344408873913,2193.5466764953662,9217.724250772253,44262.13246275197,9.86678352322524,2.5202686898812448,0.8769206294027169,1.6481156879929886,5935,5935,5935,2557,3378,5935,1.0,1.0,0.43083403538331927,0.5691659646166807,0.43083403538331927,0.5691659646166807,1.0
2,couple,5795,0.08891036852925834,4890,377,4513,0.0770961145194274,5658,263,5395,0.04648285613290915,370434.97,6506086.0,0.0569366851283552,499812.12,6506086.0,0.07682224305058372,0.060315518473521734,2284.7351164797237,1186.7749784296807,2226.531150704631,1817.6249370146675,7214.32395887259,33763.99874158468,10.698083894355257,2.185604997372539,0.9168369345245986,1.4992232004142931,5795,5795,5795,2670,3125,5795,1.0,1.0,0.46074201898188094,0.5392579810181191,0.46074201898188094,0.5392579810181191,1.0
2,single,7451,0.11431771456626469,6162,574,5588,0.09315157416423239,7278,395,6883,0.0542731519648255,578429.14,8060803.0,0.0717582528688519,644772.69,8060803.0,0.07998864257072155,0.058963220585293706,2189.7070191920548,1147.4618172057442,1930.9035391222653,1541.1030696103433,7051.311433140965,32537.049313653137,10.4570110701107,2.1479954130956425,0.9090158565380074,1.514760147601476,7451,7451,7451,3350,4101,7451,1.0,1.0,0.44960407998926316,0.5503959200107368,0.44960407998926316,0.5503959200107368,1.0
3,couple,5406,0.08294209702660407,4576,478,4098,0.10445804195804195,5268,314,4954,0.059605163249810175,391817.02,5257134.0,0.07453053698079601,469123.81000000006,5257134.0,0.08923565767964067,0.06062093447649678,2078.77192008879,1032.525712171661,1920.717552102602,1557.3547068072507,6314.692170119621,28363.080264550266,10.7416127133608,2.3111074412228776,0.9148857224773663,1.4979423868312758,5406,5406,5406,2475,2931,5406,1.0,1.0,0.45782463928967815,0.5421753607103219,0.45782463928967815,0.5421753607103219,1.0
3,single,8038,0.12332382092116972,6716,792,5924,0.1179273377010125,7823,546,7277,0.0697941965997699,674472.09,7543449.0,0.08941163253042474,797381.8300000001,7543449.0,0.10570520593431468,0.05745654871631306,1991.8407564070665,997.4047026623538,1743.250413038069,1399.870235755163,6355.110916272705,27558.639263525303,10.437150837988828,2.5580338000181695,0.915630564583595,1.4949389179755672,8038,8038,8038,3523,4515,8038,1.0,1.0,0.43829310773824337,0.5617068922617566,0.43829310773824337,0.5617068922617566,1.0
4,couple,4969,0.07623738071128294,4240,590,3650,0.1391509433962264,4860,392,4468,0.08065843621399177,432003.65,4179177.0,0.10337050811678951,506466.64999999997,4179177.0,0.1211881310602542,0.058715435259321436,1923.9042060776817,888.2022539746428,1793.9411393975984,1475.9922637016168,5719.046370161668,24169.622432262127,10.813762626262626,2.44173390560038,0.9261654580056711,1.446124763705104,4969,4969,4969,2073,2896,4969,1.0,1.0,0.41718655665123766,0.5828134433487623,0.41718655665123766,0.5828134433487623,1.0
4,single,8487,0.13021264843965755,7075,1085,5990,0.15335689045936396,8269,753,7516,0.0910630064094812,784932.48,7060512.0,0.11117217561559274,944423.86,7060512.0,0.13376138444350777,0.056385925639561366,1867.0201484623542,877.6725580299282,1658.4251107576292,1348.1461543144417,5851.464995483288,23115.972018685352,10.5320962888666,2.680629653120215,0.9159328669696364,1.4951618284951618,8487,8487,8487,3548,4939,8487,1.0,1.0,0.4180511370331095,0.5819488629668905,0.4180511370331095,0.5819488629668905,1.0
5,couple,4061,0.062306299671668355,3525,761,2764,0.21588652482269505,3986,525,3461,0.13171098845960863,422251.91000000003,2845534.0,0.1483910963636351,514929.52,2845534.0,0.18096059298535883,0.0567220599212001,1753.2698842649593,728.7943856193056,1708.8139013379298,1431.0921205778543,5163.865591397849,19592.998486842105,10.335119538334707,2.8096403606498344,0.9171769018873355,1.4629934210526316,4061,4061,4061,1302,2759,4061,1.0,1.0,0.32061068702290074,0.6793893129770993,0.32061068702290074,0.6793893129770993,1.0
5,single,9117,0.13987848660590996,7767,1929,5838,0.24835843955195055,8968,1270,7698,0.14161462979482606,1027400.34,6224482.0,0.16505796626932168,1261705.79,6224482.0,0.20270052833312074,0.05334862670110201,1653.3107381814193,711.6877262257321,1550.851989689591,1283.0865940916235,5329.420347153669,17867.58661157025,10.152423469387756,2.897509457350849,0.9228711490136681,1.4675778766687857,9117,9117,9117,2693,6424,9117,1.0,1.0,0.2953822529340792,0.7046177470659208,0.2953822529340792,0.7046177470659208,1.0
